,type,source,title
0,Movie,imdb,The Shawshank Redemption
1,Movie,imdb,Dilwale Dulhania Le Jayenge
2,Movie,imdb,The Godfather
3,Movie,imdb,Schindler's List
4,Movie,imdb,The Godfather: Part II
5,Movie,imdb,Impossible Things
6,Movie,imdb,Dou kyu sei – Classmates
7,Movie,imdb,Spirited Away
8,Movie,imdb,Your Name.
9,Movie,imdb,Gabriel's Inferno
10,Movie,imdb,Gabriel's Inferno: Part II
11,Movie,imdb,Everything Everywhere All at Once
12,Movie,imdb,Parasite
13,Movie,imdb,12 Angry Men
14,Movie,imdb,The Green Mile
15,Movie,imdb,The Dark Knight
16,Movie,imdb,Gabriel's Inferno: Part III
17,Movie,imdb,Violet Evergarden: The Movie
18,Movie,imdb,Pulp Fiction
19,Movie,imdb,The Lord of the Rings: The Return of the King
20,Movie,imdb,"The Good, the Bad and the Ugly"
21,Movie,imdb,Your Eyes Tell
22,Movie,imdb,Forrest Gump
23,Movie,imdb,Cinema Paradiso
24,Movie,imdb,Seven Samurai
25,Movie,imdb,"Josee, the Tiger and the Fish"
26,Movie,imdb,GoodFellas
27,Movie,imdb,Life Is Beautiful
28,Movie,imdb,A Dog's Will
29,Movie,imdb,Once Upon a Time in America
30,Movie,imdb,Harakiri
31,Movie,imdb,Psycho
32,Movie,imdb,Grave of the Fireflies
33,Movie,imdb,One Flew Over the Cuckoo's Nest
34,Movie,imdb,Fight Club
35,Movie,imdb,A Silent Voice: The Movie
36,Movie,imdb,Spider-Man: Into the Spider-Verse
37,Movie,imdb,Evangelion: 3.0+1.0 Thrice Upon a Time
38,Movie,imdb,City of God
39,Movie,imdb,Hope
40,Movie,imdb,Howl's Moving Castle
41,Movie,imdb,Hotarubi no Mori e
42,Movie,imdb,Neon Genesis Evangelion: The End of Evangelion
43,Movie,imdb,The Empire Strikes Back
44,Movie,imdb,Sunset Boulevard
45,Movie,imdb,The Lord of the Rings: The Fellowship of the Ring
46,Movie,imdb,Wolfwalkers
47,Movie,imdb,Primal: Tales of Savagery
48,Movie,imdb,The Pianist
49,Movie,imdb,Whiplash
50,Movie,imdb,American History X
51,Movie,imdb,Interstellar
52,Movie,imdb,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
53,Movie,imdb,Rear Window
54,Movie,imdb,The Lord of the Rings: The Two Towers
55,Movie,imdb,High and Low
56,Movie,imdb,City Lights
57,Movie,imdb,Ikiru
58,Movie,imdb,The Great Dictator
59,Movie,imdb,Dedicated to my ex
60,Movie,imdb,Inception
61,Movie,imdb,Given
62,Movie,imdb,Rascal Does Not Dream of a Dreaming Girl
63,Movie,imdb,Se7en
64,Movie,imdb,Princess Mononoke
65,Movie,imdb,Come and See
66,Movie,imdb,The Silence of the Lambs
67,Movie,imdb,Modern Times
68,Movie,imdb,My Hero Academia: Heroes Rising
69,Movie,imdb,Dead Poets Society
70,Movie,imdb,Léon: The Professional
71,Movie,imdb,Five Feet Apart
72,Movie,imdb,Hamilton
73,Movie,imdb,Justice League Dark: Apokolips War
74,Movie,imdb,Better Days
75,Movie,imdb,Clouds
76,Movie,imdb,Paths of Glory
77,Movie,imdb,Once Upon a Time in the West
78,Movie,imdb,Tokyo Story
79,Movie,imdb,Back to the Future
80,Movie,imdb,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
81,Movie,imdb,Life in a Year
82,Movie,imdb,Woman in the Dunes
83,Movie,imdb,We All Loved Each Other So Much
84,Movie,imdb,Steven Universe: The Movie
85,Movie,imdb,Avengers: Endgame
86,Movie,imdb,Apocalypse Now
87,Movie,imdb,Zack Snyder's Justice League
88,Movie,imdb,The Art of Racing in the Rain
89,Movie,imdb,The Legend of 1900
90,Movie,imdb,Miracle in Cell No. 7
91,Movie,imdb,Mommy
92,Movie,imdb,Perfect Blue
93,Movie,imdb,Le Trou
94,Movie,imdb,Persona
95,Movie,imdb,Klaus
96,Movie,imdb,Oldboy
97,Movie,imdb,Avengers: Infinity War
98,Movie,imdb,The Handmaiden
99,Movie,imdb,Bicycle Thieves
100,Movie,imdb,Wolf Children
101,Movie,imdb,The Intouchables
102,Movie,imdb,Black Beauty
103,Movie,imdb,It's a Wonderful Life
104,Movie,imdb,The Lion King
105,Movie,imdb,Il Sorpasso
106,Movie,imdb,"Miraculous World: New York, United HeroeZ"
107,Movie,imdb,Maquia: When the Promised Flower Blooms
108,Movie,imdb,I Want to Eat Your Pancreas
